,comInsert,dataTime
228,143,2017-05-26 10:05:00
229,90,2017-05-26 10:06:00
230,108,2017-05-26 10:07:00
231,99,2017-05-26 10:08:00
232,132,2017-05-26 10:09:00
233,166,2017-05-26 10:10:00
234,120,2017-05-26 10:11:00
235,96,2017-05-26 10:12:00
236,116,2017-05-26 10:13:00
237,110,2017-05-26 10:14:00
238,132,2017-05-26 10:15:00
239,105,2017-05-26 10:16:00
240,99,2017-05-26 10:17:00
241,109,2017-05-26 10:18:00
242,136,2017-05-26 10:19:00
243,161,2017-05-26 10:20:00
244,121,2017-05-26 10:21:00
245,101,2017-05-26 10:22:00
246,117,2017-05-26 10:23:00
247,94,2017-05-26 10:24:00
248,141,2017-05-26 10:25:00
249,113,2017-05-26 10:26:00
250,103,2017-05-26 10:27:00
251,170,2017-05-26 10:28:00
252,99,2017-05-26 10:29:00
253,233,2017-05-26 10:30:00
254,152,2017-05-26 10:31:00
255,106,2017-05-26 10:32:00
256,113,2017-05-26 10:33:00
257,107,2017-05-26 10:34:00
258,131,2017-05-26 10:35:00
259,113,2017-05-26 10:36:00
260,96,2017-05-26 10:37:00
261,112,2017-05-26 10:38:00
262,123,2017-05-26 10:39:00
263,138,2017-05-26 10:40:00
264,127,2017-05-26 10:41:00
265,105,2017-05-26 10:42:00
266,105,2017-05-26 10:43:00
267,115,2017-05-26 10:44:00
268,126,2017-05-26 10:45:00
269,107,2017-05-26 10:46:00
270,98,2017-05-26 10:47:00
271,101,2017-05-26 10:48:00
272,110,2017-05-26 10:49:00
273,142,2017-05-26 10:50:00
274,123,2017-05-26 10:51:00
275,94,2017-05-26 10:52:00
276,105,2017-05-26 10:53:00
277,113,2017-05-26 10:54:00
278,164,2017-05-26 10:55:00
279,115,2017-05-26 10:56:00
280,102,2017-05-26 10:57:00
281,102,2017-05-26 10:58:00
282,96,2017-05-26 10:59:00
283,209,2017-05-26 11:00:00
284,120,2017-05-26 11:01:00
285,100,2017-05-26 11:02:00
286,147,2017-05-26 11:03:00
287,136,2017-05-26 11:04:00
288,148,2017-05-26 11:05:00
289,156,2017-05-26 11:06:00
290,117,2017-05-26 11:07:00
291,104,2017-05-26 11:08:00
292,91,2017-05-26 11:09:00
293,150,2017-05-26 11:10:00
294,130,2017-05-26 11:11:00
295,93,2017-05-26 11:12:00
296,110,2017-05-26 11:13:00
297,91,2017-05-26 11:14:00
298,130,2017-05-26 11:15:00
299,111,2017-05-26 11:16:00
300,93,2017-05-26 11:17:00
301,105,2017-05-26 11:18:00
302,101,2017-05-26 11:19:00
303,146,2017-05-26 11:20:00
304,111,2017-05-26 11:21:00
305,106,2017-05-26 11:22:00
306,127,2017-05-26 11:23:00
307,100,2017-05-26 11:24:00
308,142,2017-05-26 11:25:00
309,131,2017-05-26 11:26:00
310,121,2017-05-26 11:27:00
311,147,2017-05-26 11:28:00
312,103,2017-05-26 11:29:00
313,165,2017-05-26 11:30:00
314,152,2017-05-26 11:31:00
315,143,2017-05-26 11:32:00
316,89,2017-05-26 11:33:00
317,93,2017-05-26 11:34:00
318,134,2017-05-26 11:35:00
319,94,2017-05-26 11:36:00
320,96,2017-05-26 11:37:00
321,98,2017-05-26 11:38:00
322,103,2017-05-26 11:39:00
323,146,2017-05-26 11:40:00
324,134,2017-05-26 11:41:00
325,118,2017-05-26 11:42:00
326,95,2017-05-26 11:43:00
327,102,2017-05-26 11:44:00
328,175,2017-05-26 11:45:00
329,97,2017-05-26 11:46:00
330,85,2017-05-26 11:47:00
331,107,2017-05-26 11:48:00
332,109,2017-05-26 11:49:00
333,158,2017-05-26 11:50:00
334,128,2017-05-26 11:51:00
335,100,2017-05-26 11:52:00
336,97,2017-05-26 11:53:00
337,99,2017-05-26 11:54:00
338,150,2017-05-26 11:55:00
339,112,2017-05-26 11:56:00
340,102,2017-05-26 11:57:00
341,106,2017-05-26 11:58:00
342,106,2017-05-26 11:59:00
343,276,2017-05-26 12:00:00
344,126,2017-05-26 12:01:00
345,105,2017-05-26 12:02:00
346,104,2017-05-26 12:03:00
347,127,2017-05-26 12:04:00
348,142,2017-05-26 12:05:00
349,103,2017-05-26 12:06:00
350,97,2017-05-26 12:07:00
351,92,2017-05-26 12:08:00
352,124,2017-05-26 12:09:00
353,153,2017-05-26 12:10:00
354,118,2017-05-26 12:11:00
355,86,2017-05-26 12:12:00
356,93,2017-05-26 12:13:00
357,91,2017-05-26 12:14:00
358,106,2017-05-26 12:15:00
359,77,2017-05-26 12:16:00
360,161,2017-05-26 12:17:00
361,87,2017-05-26 12:18:00
362,68,2017-05-26 12:19:00
363,116,2017-05-26 12:20:00
364,77,2017-05-26 12:21:00
365,62,2017-05-26 12:22:00
366,83,2017-05-26 12:23:00
367,85,2017-05-26 12:24:00
368,133,2017-05-26 12:25:00
369,83,2017-05-26 12:26:00
370,80,2017-05-26 12:27:00
371,136,2017-05-26 12:28:00
372,82,2017-05-26 12:29:00
373,224,2017-05-26 12:30:00
374,128,2017-05-26 12:31:00
375,95,2017-05-26 12:32:00
376,75,2017-05-26 12:33:00
377,101,2017-05-26 12:34:00
378,117,2017-05-26 12:35:00
379,100,2017-05-26 12:36:00
380,96,2017-05-26 12:37:00
381,87,2017-05-26 12:38:00
382,87,2017-05-26 12:39:00
383,152,2017-05-26 12:40:00
384,103,2017-05-26 12:41:00
385,101,2017-05-26 12:42:00
386,100,2017-05-26 12:43:00
387,105,2017-05-26 12:44:00
388,140,2017-05-26 12:45:00
389,114,2017-05-26 12:46:00
390,104,2017-05-26 12:47:00
391,98,2017-05-26 12:48:00
392,97,2017-05-26 12:49:00
393,148,2017-05-26 12:50:00
394,123,2017-05-26 12:51:00
395,110,2017-05-26 12:52:00
396,102,2017-05-26 12:53:00
397,94,2017-05-26 12:54:00
398,145,2017-05-26 12:55:00
399,118,2017-05-26 12:56:00
400,97,2017-05-26 12:57:00
401,111,2017-05-26 12:58:00
402,108,2017-05-26 12:59:00
403,241,2017-05-26 13:00:00
404,115,2017-05-26 13:01:00
405,94,2017-05-26 13:02:00
406,97,2017-05-26 13:03:00
407,129,2017-05-26 13:04:00
408,150,2017-05-26 13:05:00
409,118,2017-05-26 13:06:00
410,116,2017-05-26 13:07:00
411,98,2017-05-26 13:08:00
412,112,2017-05-26 13:09:00
413,172,2017-05-26 13:10:00
414,125,2017-05-26 13:11:00
415,110,2017-05-26 13:12:00
416,106,2017-05-26 13:13:00
417,114,2017-05-26 13:14:00
418,141,2017-05-26 13:15:00
419,98,2017-05-26 13:16:00
420,103,2017-05-26 13:17:00
421,105,2017-05-26 13:18:00
422,104,2017-05-26 13:19:00
423,156,2017-05-26 13:20:00
424,113,2017-05-26 13:21:00
425,107,2017-05-26 13:22:00
426,113,2017-05-26 13:23:00
427,108,2017-05-26 13:24:00
428,148,2017-05-26 13:25:00
429,118,2017-05-26 13:26:00
430,110,2017-05-26 13:27:00
431,117,2017-05-26 13:28:00
432,107,2017-05-26 13:29:00
433,175,2017-05-26 13:30:00
434,154,2017-05-26 13:31:00
435,111,2017-05-26 13:32:00
436,116,2017-05-26 13:33:00
437,103,2017-05-26 13:34:00
438,152,2017-05-26 13:35:00
439,128,2017-05-26 13:36:00
440,106,2017-05-26 13:37:00
441,119,2017-05-26 13:38:00
442,132,2017-05-26 13:39:00
443,157,2017-05-26 13:40:00
444,137,2017-05-26 13:41:00
445,121,2017-05-26 13:42:00
446,108,2017-05-26 13:43:00
447,110,2017-05-26 13:44:00
448,152,2017-05-26 13:45:00
449,105,2017-05-26 13:46:00
450,115,2017-05-26 13:47:00
451,105,2017-05-26 13:48:00
452,123,2017-05-26 13:49:00
453,155,2017-05-26 13:50:00
454,107,2017-05-26 13:51:00
455,116,2017-05-26 13:52:00
456,107,2017-05-26 13:53:00
457,107,2017-05-26 13:54:00
458,157,2017-05-26 13:55:00
459,127,2017-05-26 13:56:00
460,132,2017-05-26 13:57:00
461,117,2017-05-26 13:58:00
462,114,2017-05-26 13:59:00
463,242,2017-05-26 14:00:00
464,123,2017-05-26 14:01:00
465,128,2017-05-26 14:02:00
466,106,2017-05-26 14:03:00
467,108,2017-05-26 14:04:00
468,147,2017-05-26 14:05:00
469,101,2017-05-26 14:06:00
470,114,2017-05-26 14:07:00
471,112,2017-05-26 14:08:00
472,118,2017-05-26 14:09:00
473,159,2017-05-26 14:10:00
474,143,2017-05-26 14:11:00
475,91,2017-05-26 14:12:00
476,97,2017-05-26 14:13:00
477,97,2017-05-26 14:14:00
